source_file,subject,message_date,reported_at,dispatcher,row_in_message,raw_entry,location,issue,label,issue_time
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:36:51-05:00,SSAWALLI,1,11 FERN RD FRIDGE NOT OUT,11 FERN RD,FRIDGE NOT OUT,special_item_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:14-05:00,SSAWALLI,2,6 POWDER HOUSE TERR RECYC NOT OUT,6 POWDER HOUSE TERR,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:14-05:00,SSAWALLI,2,28 POWDER HOUSE TERR RECYC NOT OUT,28 POWDER HOUSE TERR,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:14-05:00,SSAWALLI,2,34 POWDER HOUSE TERR RECYC NOT OUT,34 POWDER HOUSE TERR,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,3,27 LINCOLN RD RECYC NOT OUT,27 LINCOLN RD,RECYC NOT OUT,recyc_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,8 POWDER HOUSE RD EXT MSW NOT OUT,8 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,12 POWDER HOUSE RD EXT MSW NOT OUT,12 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,16 POWDER HOUSE RD EXT MSW NOT OUT,16 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,19 POWDER HOUSE RD EXT MSW NOT OUT,19 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,20 POWDER HOUSE RD EXT MSW NOT OUT,20 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,22 POWDER HOUSE RD EXT MSW NOT OUT,22 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,32 POWDER HOUSE RD EXT MSW NOT OUT,32 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
MEDFORD TAGS 02_04_26.msg,MEDFORD TAGS 02.04.26,2026-02-04T20:45:14Z,2026-02-04T07:44:56-05:00,SSAWALLI,4,40 POWDER HOUSE RD EXT MSW NOT OUT,40 POWDER HOUSE RD,EXT MSW NOT OUT,msw_not_out,
